,Date,Average Volume per Week (BTC)
0,2013-04-14,20202.562639154286
1,2013-04-21,13204.207000224285
2,2013-04-28,15670.14472395143
3,2013-05-05,10198.091311774288
4,2013-05-12,7279.517694644285
5,2013-05-19,6975.230492441429
6,2013-05-26,6546.037617707144
7,2013-06-02,9278.681184205716
8,2013-06-09,11443.875916025714
9,2013-06-16,7000.6133893728575
10,2013-06-23,7111.872976018572
11,2013-06-30,18398.739496025715
12,2013-07-07,17726.960999367144
13,2013-07-14,9930.292048397143
14,2013-07-21,7703.345894122857
15,2013-07-28,10593.017958335715
16,2013-08-04,8549.040460354287
17,2013-08-11,9182.61327795
18,2013-08-18,12064.81197452143
19,2013-08-25,13778.782493121427
20,2013-09-01,13725.946833624288
21,2013-09-08,12650.362785857144
22,2013-09-15,8601.010737478573
23,2013-09-22,7868.2573986914285
24,2013-09-29,18382.73128682143
25,2013-10-06,10678.390724581428
26,2013-10-13,22876.667129571433
27,2013-10-20,28997.70564767143
28,2013-10-27,12841.040423172857
29,2013-11-03,36621.62586121429
30,2013-11-10,33509.144697
31,2013-11-17,41219.69309821429
32,2013-11-24,24995.82296142857
33,2013-12-01,43980.850015257136
34,2013-12-08,20935.030093174282
35,2013-12-15,52494.41886629999
36,2013-12-22,15413.957695892856
37,2013-12-29,10219.011135597142
38,2014-01-05,23517.35099427143
39,2014-01-12,12052.87402923
40,2014-01-19,9034.376319742858
41,2014-01-26,13019.35485251143
42,2014-02-02,17942.143066220004
43,2014-02-09,37111.899053857145
44,2014-02-16,22131.165026785715
45,2014-02-23,41652.59900041429
46,2014-03-02,21950.899284128573
47,2014-03-09,8855.283325277143
48,2014-03-16,11626.920951297145
49,2014-03-23,18543.303730607142
50,2014-03-30,22702.68224545429
51,2014-04-06,18457.39502150714
52,2014-04-13,21350.768843585713
53,2014-04-20,11224.995449442857
54,2014-04-27,11064.983949828571
55,2014-05-04,7624.455181255714
56,2014-05-11,5324.774792591429
57,2014-05-18,12161.619412640002
58,2014-05-25,14358.870479674286
59,2014-06-01,14015.990535775714
60,2014-06-08,12257.058426135714
61,2014-06-15,6743.721398665713
62,2014-06-22,5927.348008512857
63,2014-06-29,6778.898342835715
64,2014-07-06,4521.064793031429
65,2014-07-13,4103.281578669999
66,2014-07-20,4503.550278838571
67,2014-07-27,7681.184867104285
68,2014-08-03,4711.120733048571
69,2014-08-10,13764.26107467
70,2014-08-17,16315.03992508286
71,2014-08-24,6402.347277714286
72,2014-08-31,7319.277027325715
73,2014-09-07,8274.391839511427
74,2014-09-14,14320.884338575715
75,2014-09-21,13790.973121164285
76,2014-09-28,17614.115149471432
77,2014-10-05,37310.64989218571
78,2014-10-12,17809.0340116
79,2014-10-19,11340.984367461428
80,2014-10-26,10619.113895361428
81,2014-11-02,10570.160252808573
82,2014-11-09,23932.007068659994
83,2014-11-16,13787.949652932857
84,2014-11-23,11927.408823241427
85,2014-11-30,6907.235800914286
86,2014-12-07,9844.332584257141
87,2014-12-14,14955.031464422858
88,2014-12-21,7245.363864725715
89,2014-12-28,7797.571433585715
90,2015-01-04,12904.653856348572
91,2015-01-11,49330.843010657154
92,2015-01-18,17571.40730662857
93,2015-01-25,28525.426919771427
94,2015-02-01,14300.327443654287
95,2015-02-08,14144.246358434288
96,2015-02-15,12648.684876364287
97,2015-02-22,8023.537785425714
98,2015-03-01,12426.028467428574
99,2015-03-08,8451.513797131427
100,2015-03-15,8907.440315652857
101,2015-03-22,9533.01386820857
102,2015-03-29,6658.1089691285715
103,2015-04-05,7570.829532461428
104,2015-04-12,9858.950374135715
105,2015-04-19,7812.165489742858
106,2015-04-26,9513.768058892858
107,2015-05-03,7886.69824265857
108,2015-05-10,6592.326132285715
109,2015-05-17,5965.339312247142
110,2015-05-24,5875.342992557143
111,2015-05-31,6587.010823504285
112,2015-06-07,6049.995130428571
113,2015-06-14,10194.35611128143
114,2015-06-21,5164.165525884287
115,2015-06-28,11669.388269755715
116,2015-07-05,17991.365077357146
117,2015-07-12,16339.339466695714
118,2015-07-19,8752.311764815715
119,2015-07-26,8871.408617820001
120,2015-08-02,7093.562759494286
121,2015-08-09,8670.233921085715
122,2015-08-16,14384.322329737142
123,2015-08-23,24205.4515542
124,2015-08-30,19628.35998002857
125,2015-09-06,21162.268941957143
126,2015-09-13,16733.350096957143
127,2015-09-20,17467.00355757143
128,2015-09-27,18708.60538862857
129,2015-10-04,18740.117821971427
130,2015-10-11,23548.4358715
131,2015-10-18,21199.581954514288
132,2015-10-25,30988.984743785717
133,2015-11-01,53725.13366664285
134,2015-11-08,34545.313609357145
135,2015-11-15,22601.524328031428
136,2015-11-22,12229.272619825715
137,2015-11-29,13233.30252855
138,2015-12-06,18482.634090884287
139,2015-12-13,13276.925527502857
140,2015-12-20,12927.314549827144
141,2015-12-27,6580.181438611427
142,2016-01-03,7309.49804677
143,2016-01-10,13689.978892374287
144,2016-01-17,11378.942856507143
145,2016-01-24,7412.393863985715
146,2016-01-31,7257.641524971428
147,2016-02-07,6629.703295924285
148,2016-02-14,9014.348018664286
149,2016-02-21,6900.153778132858
150,2016-02-28,8057.641773794285
151,2016-03-06,5418.484427111429
152,2016-03-13,4199.095454575714
153,2016-03-20,3091.4615249771427
154,2016-03-27,4098.095504428572
155,2016-04-03,3221.211392934286
156,2016-04-10,3626.5588745428577
157,2016-04-17,4178.544377177143
158,2016-04-24,5508.90108133
159,2016-05-01,3796.074366648572
160,2016-05-08,3091.762256684286
161,2016-05-15,3175.0558618571426
162,2016-05-22,5754.730003051429
163,2016-05-29,7253.761036657143
164,2016-06-05,4439.4106661
165,2016-06-12,12339.120655934286
166,2016-06-19,15311.500183801429
167,2016-06-26,6933.7613896600005
168,2016-07-03,6251.4719388342855
169,2016-07-10,3350.8883346200005
170,2016-07-17,2964.5937039514283
171,2016-07-24,2001.891518924286
172,2016-07-31,9625.010831397143
173,2016-08-07,2881.1417731257143
174,2016-08-14,4206.213823615713
175,2016-08-21,3376.1672044185716
176,2016-08-28,3171.415362
177,2016-09-04,3641.041193387143
178,2016-09-11,3147.4650956385717
179,2016-09-18,2529.265093031429
180,2016-09-25,2458.871906264286
181,2016-10-02,2283.0862604328568
182,2016-10-09,3024.829844641429
183,2016-10-16,3127.6841137314286
184,2016-10-23,4598.793561984286
185,2016-10-30,5523.60027353
186,2016-11-06,4528.970878431429
187,2016-11-13,6251.7177713857145
188,2016-11-20,4107.357291775714
189,2016-11-27,5263.034568032856
190,2016-12-04,4331.281132461429
191,2016-12-11,2911.981641585714
192,2016-12-18,7795.801321695714
193,2016-12-25,7201.8688179
194,2017-01-01,18572.39530655143
195,2017-01-08,13929.620940144287
196,2017-01-15,8203.205605174287
197,2017-01-22,5221.329132487143
198,2017-01-29,6554.52796373
199,2017-02-05,9255.46984742143
200,2017-02-12,4806.300261725714
201,2017-02-19,9084.813399377143
202,2017-02-26,6001.748781288571
203,2017-03-05,11942.087196958571
204,2017-03-12,10621.571214512855
205,2017-03-19,11549.053156357144
206,2017-03-26,8872.647934210001
207,2017-04-02,7004.5668761385705
208,2017-04-09,4765.6728493142855
209,2017-04-16,4708.967760791428
210,2017-04-23,5491.791009677143
211,2017-04-30,10741.746718757144
212,2017-05-07,13905.507102218571
213,2017-05-14,12976.51864995
214,2017-05-21,20983.678030207142
215,2017-05-28,14187.655500171428
216,2017-06-04,13656.266330297143
217,2017-06-11,20830.953912187142
218,2017-06-18,11990.14469593
219,2017-06-25,12794.987941608571
220,2017-07-02,9140.189634028571
221,2017-07-09,13317.078304227145
222,2017-07-16,22679.894731742857
223,2017-07-23,13817.470885699999
224,2017-07-30,10771.427398805714
225,2017-08-06,11639.519525047142
226,2017-08-13,16523.97894737143
227,2017-08-20,11652.023449017142
228,2017-08-27,10639.505792638573
229,2017-09-03,16676.414995592855
230,2017-09-10,27657.59863235714
231,2017-09-17,14136.040940814286
232,2017-09-24,10841.944596248572
233,2017-10-01,8271.696269331429
234,2017-10-08,14384.999798050001
235,2017-10-15,12723.28983652
236,2017-10-22,12403.661536825715
237,2017-10-29,14823.764232067142
238,2017-11-05,17315.95512585143
239,2017-11-12,19681.84842002286
240,2017-11-19,9566.53947311857
241,2017-11-26,17335.655655311428
242,2017-12-03,18195.494272554282
243,2017-12-10,15413.633913047142
244,2017-12-17,25248.244568624283
245,2017-12-24,16084.506759478574
246,2017-12-31,12657.152836947143
247,2018-01-07,14036.264001874284
248,2018-01-14,20414.55982194
249,2018-01-21,13308.361856685715
250,2018-01-28,20107.01916778714
251,2018-02-04,32156.06149063857
252,2018-02-11,14861.605484342856
253,2018-02-18,16483.338119208573
254,2018-02-25,10527.17737018
255,2018-03-04,17434.20302443143
256,2018-03-11,17040.852293141426
257,2018-03-18,14366.952864475714
258,2018-03-25,15784.48309536143
259,2018-04-01,13085.120146412857
260,2018-04-08,10619.581623978573
